Voltage(V)	Runtime
9.11		165588
9.11		165704
9.11		165821
9.11		165938
9.11		166054
9.11		166171
9.11		166287
9.11		166404
9.11		166523
9.11		166640
9.11		166756
9.11		166873
9.11		166989
9.11		167106
9.11		167223
9.11		167339
9.11		167455
9.11		167572
9.11		167689
9.11		167805
9.11		167921
9.11		168038
9.11		168155
9.11		168271
9.11		168387
9.11		168504
9.11		168621
9.11		168737
9.11		168854
9.11		168970
9.11		169086
9.11		169203
9.11		169320
9.11		169437
9.11		169553
9.11		169669
9.11		169786
9.11		169903
9.11		170019
9.11		170136
9.11		170252
9.11		170369
9.11		170485
9.11		170602
9.11		170719
9.11		170838
9.11		170954
9.11		171071
9.11		171187
9.11		171303
9.11		171420
9.11		171537
9.11		171654
9.11		171769
9.11		171886
9.11		172003
9.11		172120
9.11		172236
9.11		172352
9.11		172469
9.11		172585
9.11		172702
9.11		172819
9.11		172936
9.11		173051
9.11		173168
9.11		173285
9.11		173402
9.11		173518
9.11		173634
9.11		173751
9.11		173868
9.11		173984
9.11		174101
9.11		174217
9.11		174333
9.11		174450
9.11		174567
9.11		174683
9.11		174800
9.11		174916
9.11		175033
9.11		175152
9.11		175268
9.11		175385
9.11		175502
9.11		175619
9.11		175734
9.11		175851
9.11		175968
9.11		176084
9.11		176201
9.11		176317
9.11		176434
9.11		176550
9.11		176667
9.11		176784
9.11		176900
9.11		177016
9.11		177133
9.11		177250
9.11		177366
9.11		177482
9.11		177599
9.11		177716
9.11		177832
9.11		177948
9.11		178065
9.11		178182
9.11		178298
9.11		178415
9.11		178531
9.11		178648
9.11		178764
9.11		178881
9.11		178998
9.11		179113
9.11		179230
9.11		179350
9.11		179466
9.11		179582
9.11		179699
9.11		179816
9.11		179933
9.11		180048
9.11		180165
9.11		180282
9.11		180399
9.11		180515
9.11		180631
9.11		180748
9.11		180865
9.11		180981
9.11		181098
9.11		181214
9.08		181330
9.11		181447
9.11		181564
9.11		181681
9.11		181797
9.11		181913
9.11		182030
9.08		182147
9.11		182263
9.11		182380
9.08		182496
9.11		182612
9.11		182729
9.11		182846
9.08		182962
9.08		183078
9.08		183195
9.08		183312
9.11		183428
9.11		183544
9.08		183664
9.11		183780
9.11		183897
9.08		184013
9.11		184130
9.11		184246
9.11		184364
9.11		184479
9.11		184596
9.11		184713
9.08		184829
9.11		184945
9.08		185062
9.11		185179
9.08		185295
9.08		185412
9.08		185528
9.08		185645
9.08		185761
9.08		185878
9.08		185994
9.08		186110
9.08		186227
9.08		186344
9.08		186461
9.08		186576
9.08		186693
9.08		186810
9.08		186927
9.08		187042
9.08		187159
9.08		187276
9.08		187393
9.08		187508
9.08		187625
9.08		187742
9.08		187862
9.08		187977
9.08		188094
9.08		188211
9.08		188326
9.08		188443
9.08		188560
9.08		188677
9.08		188793
9.08		188909
9.08		189026
9.08		189143
9.08		189259
9.08		189376
9.08		189492
9.08		189608
9.08		189725
9.08		189842
9.08		189959
9.08		190074
9.08		190191
9.08		190308
9.08		190425
9.08		190540
9.08		190657
9.08		190774
9.08		190891
9.08		191007
9.08		191123
9.08		191240
9.08		191356
9.08		191473
9.08		191590
9.08		191706
9.08		191822
9.08		191939
9.08		192056
9.08		192175
9.08		192291
9.08		192408
9.08		192524
9.08		192641
9.08		192757
9.08		192874
9.08		192991
9.08		193106
9.08		193223
9.08		193340
9.08		193457
9.08		193573
9.08		193689
9.08		193806
9.08		193923
9.08		194039
9.08		194156
9.08		194272
9.08		194388
9.08		194505
9.08		194621
9.08		194738
9.08		194854
9.08		194971
9.08		195088
9.08		195204
9.08		195320
9.08		195437
9.08		195554
9.08		195671
9.08		195786
9.08		195903
9.08		196020
9.08		196136
9.08		196253
9.08		196372
9.08		196489
9.08		196604
9.08		196721
9.08		196838
